"Field","Rank","Issn","Title","Type","Scimagojr ID","SJR","SJR Quartile","H index","Total Docs. (2021)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Country","Region","Publisher","Coverage","Categories"
"Environment",1,"17586798, 1758678X","Nature Climate Change","journal",21100198409,6134,"Q1",211,261,834,8747,12000,401,"12,91","33,51","United Kingdom","Western Europe","Nature Publishing Group","2011-2021","Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
"Environment",2,"15452050, 15435938","Annual Review of Environment and Resources","book series",28800,4657,"Q1",124,26,56,4078,888,54,"16,63","156,85","United States","Northern America","Annual Reviews Inc.","2003-2020","Environmental Science (miscellaneous) (Q1)"
"Environment",3,"18733883, 09263373","Applied Catalysis B: Environmental","journal",16343,4466,"Q1",274,1096,3195,64562,65832,3191,"21,41","58,91","Netherlands","Western Europe","Elsevier","1992-2022","Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
"Environment",4,"25750348, 25750356","Energy and Environmental Materials","journal",21101030209,3694,"Q1",27,129,85,9162,1387,83,"17,05","71,02","United States","Northern America","John Wiley &amp; Sons Inc.","2018-2021","Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
"Environment",5,"13652486, 13541013","Global Change Biology","journal",15131,3685,"Q1",272,497,1382,39813,16279,1300,"11,59","80,11","United Kingdom","Western Europe","Wiley-Blackwell Publishing Ltd","1995-2021","Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
"Environment",6,"18736750, 01604120","Environment international","journal",20912,2757,"Q1",210,674,2342,48021,28317,2304,"12,25","71,25","United Kingdom","Western Europe","Elsevier Ltd.","1976-2022","Environmental Science (miscellaneous) (Q1)"
"Environment",7,23284277,"Earth's Future","journal",21100403190,2624,"Q1",50,169,330,12812,2901,299,"8,33","75,81","United States","Northern America","John Wiley &amp; Sons Inc.","2014-2021","Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
"Environment",8,22104224,"Environmental Innovation and Societal Transitions","journal",19700201681,2573,"Q1",59,100,225,7093,2021,219,"8,36","70,93","Netherlands","Western Europe","Elsevier BV","2011-2021","Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
"Environment",9,"02637758, 14723433","Environment and Planning D: Society and Space","journal",13274,2571,"Q1",111,72,190,4391,1203,180,"5,42","60,99","United Kingdom","Western Europe","SAGE Publications Inc.","1983-2021","Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
"Environment",10,"08866236, 19449224","Global Biogeochemical Cycles","journal",21848,2194,"Q1",196,131,326,11468,2038,319,"5,96","87,54","United States","Northern America","Wiley-Blackwell","1987-2021","Atmospheric Science (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
"Environment",16,"09596526, 18791786","Journal of Cleaner Production","journal",19167,1921,"Q1",232,5326,12943,362638,145613,12771,"10,96","68,09","United Kingdom","Western Europe","Elsevier Ltd.","1993-2021","Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)"
"Environment",28,"14693062, 17527457","Climate Policy","journal",22524,1654,"Q1",71,102,325,6641,1910,312,"5,92","65,11","United Kingdom","Western Europe","Taylor and Francis Ltd.","2001-2021","Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
"Environment",31,"1552390X, 00139165","Environment and Behavior","journal",14356,1610,"Q1",125,38,123,2833,950,122,"7,50","74,55","United Kingdom","Western Europe","SAGE Publications Ltd","1969-2021","Environmental Science (miscellaneous) (Q1)"
"Nutrition",1,"01999885, 15454312","Annual Review of Nutrition","journal",29993,2532,"Q1",166,23,53,3136,574,50,"8,58","136,35","United States","Northern America","Annual Reviews Inc.","1981-2020","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",2,"21565376, 21618313","Advances in Nutrition","journal",21100202730,2146,"Q1",103,188,357,16330,3580,314,"9,52","86,86","United States","Northern America","American Society for Nutrition","2010-2021","Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",3,14795868,"International Journal of Behavioral Nutrition and Physical Activity","journal",14875,2028,"Q1",129,162,426,9443,3495,422,"8,07","58,29","United Kingdom","Western Europe","BioMed Central Ltd.","2004-2021","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
"Nutrition",4,"19383207, 00029165","American Journal of Clinical Nutrition","journal",29990,1833,"Q1",351,445,1020,14601,6044,795,"5,70","32,81","United States","Northern America","American Society for Nutrition","1952-2021","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",5,19307381,"Obesity","journal",4700152825,1678,"Q1",209,248,897,9734,5222,768,"6,50","39,25","United States","Northern America","Wiley-Blackwell","2006-2021","Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",6,"15321983, 02615614","Clinical Nutrition","journal",30050,1553,"Q1",150,721,1256,33811,8355,1087,"6,72","46,89","United States","Northern America","Churchill Livingstone","1982-2021","Critical Care and Intensive Care Medicine (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",7,"1526484X, 15432742","International Journal of Sport Nutrition and Exercise Metabolism","journal",40900,1459,"Q1",80,58,219,2356,1248,214,"4,42","40,62","United States","Northern America","Human Kinetics Publishers Inc.","1996-2021","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
"Nutrition",8,"03070565, 14765497","International Journal of Obesity","journal",12697,1381,"Q1",234,283,768,13292,3808,727,"4,94","46,97","United Kingdom","Western Europe","Nature Publishing Group","1977-2021","Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",9,"09544224, 14752700","Nutrition Research Reviews","journal",68935,1374,"Q1",88,46,63,6379,553,63,"6,88","138,67","United Kingdom","Western Europe","Cambridge University Press","1988-2021","Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",10,21613311,"Current Nutrition Reports","journal",21100854600,1361,"Q1",34,39,116,2796,834,116,"5,20","71,69","United States","Northern America","Springer New York","2012-2021","Food Science (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",13,20726643,"Nutrients","journal",19700188323,1287,"Q1",143,4563,9003,311775,61346,8803,"6,43","68,33","Switzerland","Western Europe","Multidisciplinary Digital Publishing Institute (MDPI)","2009-2021","Food Science (Q1); Nutrition and Dietetics (Q1)"
"Nutrition",39,"00296651, 14752719","Proceedings of the Nutrition Society","journal",13348,832,"Q2",133,63,257,6000,979,215,"2,52","95,24","United Kingdom","Western Europe","Cambridge University Press","1944-1947, 1953, 1955-2021","Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
"Nutrition",44,24752991,"Current Developments in Nutrition","journal",21100901909,775,"Q2",20,105,284,5218,962,282,"3,17","49,70","United Kingdom","Western Europe","Oxford University Press","2017-2021","Food Science (Q1); Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
